Name of the farmer,Type of Soil,Type/Variety,Location,Type of Crops,Week 1,Week 2,Week 3,Week 4,Month,Year,Total,Report Type
John Kelly Lewis,Irrigated,PSB Rc82,Purok 2,Coconut,1.28,1.21,1.73,1.1,January,2024,5.32,Harvest
John Kelly Lewis,Irrigated,Tubigan 14,Purok 2,Coconut,0.99,0.78,1.58,1.57,February,2024,4.92,Harvest
John Kelly Lewis,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.6,1.95,0.62,0.6,March,2024,4.77,Harvest
John Kelly Lewis,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.17,0.67,1.88,1.44,April,2024,5.16,Harvest
John Kelly Lewis,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.22,1.32,1.12,0.64,May,2024,4.3,Harvest
John Kelly Lewis,Irrigated,Tubigan 14,Purok 2,Coconut,1.47,1.63,0.99,0.66,June,2024,4.75,Harvest
John Kelly Lewis,Irrigated,PSB Rc82,Purok 2,Coconut,0.86,0.96,1.12,1.47,July,2024,4.41,Harvest
John Kelly Lewis,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.94,1.45,1.58,1.68,August,2024,6.65,Harvest
John Kelly Lewis,Irrigated,PSB Rc82,Purok 2,Coconut,1.63,1.14,1.66,1.97,September,2024,6.4,Harvest
John Kelly Lewis,Irrigated,Tubigan 14,Purok 2,Coconut,1.81,1.37,0.56,1.76,October,2024,5.5,Harvest
John Kelly Lewis,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.89,1.85,0.67,1.77,November,2024,6.18,Harvest
John Kelly Lewis,Irrigated,Tubigan 14,Purok 2,Coconut,0.67,1.15,1.36,1.11,December,2024,4.29,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.54,1.78,0.75,0.64,January,2020,4.71,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,0.89,1.38,1.82,0.8,February,2020,4.89,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.57,1.91,1.93,1.53,March,2020,5.94,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.6,1.36,1.02,0.92,April,2020,3.9,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,1.87,1.66,0.53,0.83,May,2020,4.89,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,0.93,1.09,1.95,1.9,June,2020,5.87,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.75,1.45,1.47,1.64,July,2020,6.31,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.99,0.68,0.99,1.6,August,2020,5.26,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.94,0.5,1.06,0.73,September,2020,4.23,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.95,1.9,1.95,0.65,October,2020,6.45,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,1.78,1.14,1.46,0.82,November,2020,5.2,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.91,0.55,0.59,0.63,December,2020,2.68,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.02,1.25,1.24,1.43,January,2021,4.94,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.99,0.57,1.02,0.63,February,2021,3.21,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.12,1.34,0.89,1.11,March,2021,4.46,Harvest
Jerry John Fernandez,Non-Irrigated,PSB Rc82,Purok 4,Corn,0.88,0.79,1.05,1.01,April,2021,3.73,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.58,0.82,1.93,0.93,May,2021,4.26,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.12,1.69,1.62,1.55,June,2021,5.98,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,1.48,1.14,0.72,1.75,July,2021,5.09,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,1.59,1.99,0.74,1.37,August,2021,5.69,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,1.42,1.94,1.52,1.27,September,2021,6.15,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.11,0.81,1.25,1.97,October,2021,5.14,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,0.53,1.39,1.36,1.97,November,2021,5.25,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,0.57,0.63,0.85,1.41,December,2021,3.46,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,0.63,1.82,0.93,1.21,January,2022,4.59,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.71,0.71,0.65,1.97,February,2022,5.04,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.1,0.89,1.03,1.26,March,2022,4.28,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,0.93,1.53,1.74,1.78,April,2022,5.98,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,1.25,1.8,1.67,0.57,May,2022,5.29,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.58,1.34,1.12,0.61,June,2022,3.65,Harvest
Jerry John Fernandez,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.13,1.11,1.5,1.15,July,2022,4.89,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,0.74,1.84,0.85,1.57,August,2022,5,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,1.79,1.28,1.23,1.42,September,2022,5.72,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.96,1.47,1.8,0.62,October,2022,4.85,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,0.5,1.34,1.29,0.54,November,2022,3.67,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,1.49,0.68,1.74,1.52,December,2022,5.43,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,0.76,0.81,1.97,0.67,January,2023,4.21,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,1.62,1.51,1.55,0.9,February,2023,5.58,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.32,0.78,1.05,1.25,March,2023,4.4,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,0.86,1.84,1.93,1.47,April,2023,6.1,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,1.86,0.85,1.87,1.33,May,2023,5.91,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.07,0.62,1.89,1.29,June,2023,4.87,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.75,1.49,0.99,1.52,July,2023,4.75,Harvest
Jerry John Fernandez,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.94,1.75,0.77,0.69,August,2023,5.15,Harvest
Jerry John Fernandez,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.34,0.68,0.99,1.87,September,2023,4.88,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.96,1.53,0.87,0.92,October,2023,4.28,Harvest
Jerry John Fernandez,Non-Irrigated,PSB Rc82,Purok 4,Corn,0.64,0.69,0.88,0.81,November,2023,3.02,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.84,0.8,1.17,0.95,December,2023,4.76,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.64,1.82,1.19,1.57,January,2024,6.22,Harvest
Jerry John Fernandez,Irrigated,Tubigan 14,Purok 4,Corn,1.88,1.85,1.32,1.34,February,2024,6.39,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.66,1.21,0.9,0.66,March,2024,4.43,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.95,1.39,0.96,1.22,April,2024,4.52,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 216,Purok 4,Corn,1.62,0.89,1.55,1.49,May,2024,5.55,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,1.08,0.68,0.86,1.14,June,2024,3.76,Harvest
Jerry John Fernandez,Irrigated,NSIC Rc 222,Purok 4,Corn,1.22,1.41,0.75,1.18,July,2024,4.56,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.33,1.24,1.46,1.12,August,2024,5.15,Harvest
Jerry John Fernandez,Irrigated,PSB Rc82,Purok 4,Corn,0.89,0.5,0.88,1.55,September,2024,3.82,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.75,0.77,0.95,0.91,October,2024,3.38,Harvest
Jerry John Fernandez,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.77,1.93,0.91,1.9,November,2024,6.51,Harvest
Jerry John Fernandez,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.63,0.87,1.8,1.3,December,2024,4.6,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.56,0.67,1.75,1.48,January,2020,5.46,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.97,0.51,1.03,1.6,February,2020,5.11,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,0.61,1.62,1.91,0.87,March,2020,5.01,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,1.52,1.97,1.89,0.69,April,2020,6.07,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.96,1.72,1.04,0.71,May,2020,4.43,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,1.23,1.26,1.15,0.83,June,2020,4.47,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,0.96,1.96,0.84,1.7,July,2020,5.46,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,1.02,1.2,0.62,1.53,August,2020,4.37,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,1.02,1.84,0.68,1.8,September,2020,5.34,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.52,1.19,1.43,1.46,October,2020,5.6,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.72,0.93,0.91,1.03,November,2020,4.59,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.7,1.7,1.53,1.15,December,2020,6.08,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.52,1.7,0.71,0.95,January,2021,4.88,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,0.67,0.75,0.84,1.66,February,2021,3.92,Harvest
Angela Christopher Morales,Irrigated,PSB Rc82,Purok 1,Rice,0.68,0.88,1.9,0.55,March,2021,4.01,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,0.68,1.55,1.98,1.33,April,2021,5.54,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.06,1.12,1.31,1.09,May,2021,4.58,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,1.84,1.36,0.96,0.99,June,2021,5.15,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.5,1.99,0.59,1.31,July,2021,5.39,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,1.24,0.81,1.2,1.29,August,2021,4.54,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.95,0.84,1.83,1.89,September,2021,5.51,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.3,0.71,0.96,1.56,October,2021,4.53,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,1.09,1.82,1.42,0.7,November,2021,5.03,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,0.63,0.63,1.65,1.03,December,2021,3.94,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,0.76,0.58,1.33,1.93,January,2022,4.6,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,0.85,1.94,1.03,1.46,February,2022,5.28,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.15,0.96,1.62,1.83,March,2022,5.56,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.09,1.85,1.63,1.22,April,2022,5.79,Harvest
Angela Christopher Morales,Irrigated,PSB Rc82,Purok 1,Rice,1.06,1.1,1.5,1.4,May,2022,5.06,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.89,0.84,1.64,1.23,June,2022,4.6,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.13,1.31,1.44,1.21,July,2022,5.09,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.58,1.01,1.41,1.25,August,2022,4.25,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.49,1.66,1.11,1.26,September,2022,5.52,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.99,0.59,1.62,0.92,October,2022,5.12,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,0.53,1.43,1.15,1.8,November,2022,4.91,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,0.64,0.88,0.91,1.21,December,2022,3.64,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.93,1.42,0.59,1.98,January,2023,4.92,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,0.85,0.84,0.94,0.82,February,2023,3.45,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.47,1,1.67,0.75,March,2023,4.89,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,0.73,0.68,1.12,0.73,April,2023,3.26,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.7,1.53,1.03,1.9,May,2023,5.16,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.82,0.91,1.05,1.71,June,2023,5.49,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,0.58,1.54,0.55,1.56,July,2023,4.23,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.71,1.3,0.98,1.6,August,2023,4.59,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 216,Purok 1,Rice,1.9,1.3,1.89,1.87,September,2023,6.96,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.03,1.08,1.31,1.82,October,2023,5.24,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.34,0.83,0.81,1.45,November,2023,4.43,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,0.77,0.88,1.55,1.32,December,2023,4.52,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.74,1.26,1.4,0.69,January,2024,5.09,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.32,1.82,1.45,1.09,February,2024,5.68,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.98,1.93,0.67,1.03,March,2024,4.61,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.29,1.58,0.53,1.24,April,2024,4.64,Harvest
Angela Christopher Morales,Irrigated,Tubigan 14,Purok 1,Rice,1.72,1.36,1.35,1.97,May,2024,6.4,Harvest
Angela Christopher Morales,Irrigated,NSIC Rc 222,Purok 1,Rice,1.88,1.15,1.22,0.8,June,2024,5.05,Harvest
Angela Christopher Morales,Irrigated,PSB Rc82,Purok 1,Rice,1.21,1.8,1.09,0.55,July,2024,4.65,Harvest
Angela Christopher Morales,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.69,1.85,1.48,0.62,August,2024,5.64,Harvest
Angela Christopher Morales,Non-Irrigated,PSB Rc82,Purok 1,Rice,0.66,1.14,0.74,0.91,September,2024,3.45,Harvest
Angela Christopher Morales,Irrigated,PSB Rc82,Purok 1,Rice,1.29,1.7,1.11,1.59,October,2024,5.69,Harvest
Angela Christopher Morales,Irrigated,PSB Rc82,Purok 1,Rice,1.24,1.34,0.81,1.79,November,2024,5.18,Harvest
Angela Christopher Morales,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.99,0.68,1.98,1.13,December,2024,4.78,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.53,1.48,1.04,0.65,January,2020,4.7,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,1.31,1.6,1.98,1.67,February,2020,6.56,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.86,1.76,1.07,1.06,March,2020,4.75,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.75,1.71,1.34,1.4,April,2020,6.2,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.4,1.33,1.83,1.82,May,2020,6.38,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,0.58,1.74,1.63,0.66,June,2020,4.61,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.22,1.04,1.43,0.75,July,2020,4.44,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.68,1.05,1.15,0.59,August,2020,4.47,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.64,0.57,1.75,1.05,September,2020,4.01,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.67,0.83,1.21,0.88,October,2020,4.59,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.92,0.81,1.69,1.17,November,2020,5.59,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,0.84,1.93,0.94,1.84,December,2020,5.55,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.33,1.91,1.41,1.93,January,2021,6.58,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.11,1.68,1.28,1.15,February,2021,5.22,Harvest
Thomas Brian Rosario,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.8,1.76,1.65,0.65,March,2021,5.86,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.78,1.58,1.29,1.59,April,2021,6.24,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.03,0.6,1.04,1.5,May,2021,4.17,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,0.51,0.78,1.34,0.91,June,2021,3.54,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,0.72,1.97,1.61,1.26,July,2021,5.56,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.2,0.63,0.88,1.36,August,2021,4.07,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,1.42,0.93,1.06,1.35,September,2021,4.76,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.66,0.52,1.6,1.03,October,2021,3.81,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,0.86,1.9,0.69,0.77,November,2021,4.22,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,1.54,0.92,0.86,0.97,December,2021,4.29,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.57,1.71,0.6,1.29,January,2022,5.17,Harvest
Thomas Brian Rosario,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.17,1.59,1.06,0.93,February,2022,4.75,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.28,1.2,0.66,1.79,March,2022,4.93,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.59,0.88,1.77,0.72,April,2022,3.96,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.77,1.8,0.54,1.36,May,2022,5.47,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.02,0.73,1.57,0.7,June,2022,4.02,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.14,1.23,0.61,0.94,July,2022,3.92,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,0.58,1.84,1.21,0.71,August,2022,4.34,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.5,0.72,1.28,1.84,September,2022,5.34,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.73,0.6,1.81,0.85,October,2022,4.99,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,1.11,1.99,1.71,1.3,November,2022,6.11,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.13,0.89,1.51,1.36,December,2022,4.89,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,1.74,0.89,1.06,1.58,January,2023,5.27,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,0.58,0.66,1.29,0.62,February,2023,3.15,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.77,1.79,1.72,0.71,March,2023,5.99,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,1.4,1.94,1.23,1.74,April,2023,6.31,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,0.9,1.24,1.69,1.71,May,2023,5.54,Harvest
Thomas Brian Rosario,Non-Irrigated,Tubigan 14,Purok 2,Coconut,0.63,1.96,1.98,0.6,June,2023,5.17,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,0.87,1.28,1.3,1.17,July,2023,4.62,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,1.45,1.26,1.18,1.72,August,2023,5.61,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.18,0.58,1.32,1.58,September,2023,4.66,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.9,0.75,1.83,1.47,October,2023,5.95,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.81,1.65,1.35,1.82,November,2023,5.63,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.34,1.63,1.3,1.05,December,2023,5.32,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,1.78,0.69,0.67,0.62,January,2024,3.76,Harvest
Thomas Brian Rosario,Irrigated,Tubigan 14,Purok 2,Coconut,1.39,1.26,1.19,1.96,February,2024,5.8,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.39,1.72,0.53,1.54,March,2024,5.18,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.87,1.37,2,0.52,April,2024,4.76,Harvest
Thomas Brian Rosario,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.44,1.62,1.13,1.96,May,2024,6.15,Harvest
Thomas Brian Rosario,Irrigated,PSB Rc82,Purok 2,Coconut,0.74,1.12,1.66,0.62,June,2024,4.14,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.35,0.98,0.87,1.87,July,2024,5.07,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.41,1.56,1.18,0.96,August,2024,5.11,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.42,1.73,1.07,1.39,September,2024,5.61,Harvest
Thomas Brian Rosario,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.55,0.92,1.65,0.56,October,2024,4.68,Harvest
Thomas Brian Rosario,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.62,0.62,1.24,1.09,November,2024,4.57,Harvest
Thomas Brian Rosario,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,0.77,1.18,1.34,1.44,December,2024,4.73,Harvest
Kathleen Jennifer Bryant,Irrigated,PSB Rc82,Purok 4,Coconut,0.89,1.17,1.56,1.46,January,2020,5.08,Harvest
Kathleen Jennifer Bryant,Irrigated,NSIC Rc 222,Purok 4,Coconut,1.76,1.89,1.33,1.78,February,2020,6.76,Harvest
Kathleen Jennifer Bryant,Irrigated,NSIC Rc 222,Purok 4,Coconut,1.74,0.57,0.74,1.65,March,2020,4.7,Harvest
Kathleen Jennifer Bryant,Irrigated,PSB Rc82,Purok 4,Coconut,0.96,0.9,1.55,0.69,April,2020,4.1,Harvest
Kathleen Jennifer Bryant,Non-Irrigated,NSIC Rc 222,Purok 4,Coconut,0.63,0.99,1.11,1.37,May,2020,4.1,Harvest
Kathleen Jennifer Bryant,Irrigated,Tubigan 14,Purok 4,Coconut,1,1.15,0.6,1.73,June,2020,4.48,Harvest
Kathleen Jennifer Bryant,Irrigated,NSIC Rc 216,Purok 4,Coconut,1.85,1.3,1.69,1.18,July,2020,6.02,Harvest
Kathleen Jennifer Bryant,Non-Irrigated,NSIC Rc 216,Purok 4,Coconut,1.47,1.29,1.17,1.68,August,2020,5.61,Harvest
Kathleen Jennifer Bryant,Non-Irrigated,Tubigan 14,Purok 4,Coconut,1.04,0.5,1.17,0.81,September,2020,3.52,Harvest
Kathleen Jennifer Bryant,Irrigated,NSIC Rc 216,Purok 4,Coconut,0.9,0.77,1.85,0.58,October,2020,4.1,Harvest
Kathleen Jennifer Bryant,Irrigated,Tubigan 14,Purok 4,Coconut,0.69,0.96,1.34,0.5,November,2020,3.49,Harvest
Kathleen Jennifer Bryant,Irrigated,NSIC Rc 216,Purok 4,Coconut,1.96,0.67,1.06,1.49,December,2020,5.18,Harvest
